Cloning into '/kaggle/working/EXXA'...
Updating files: 100% (5081/5081), done.

cwd: /kaggle/working/EXXA/DENOISING_DIFFUSION/notebooks | DATA_DIR: /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data

From https://github.com/KrishanYadav333/EXXA
 * branch            line-emission -> FETCH_HEAD

HEAD is now at 09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
src.* cleared from module cache ├óΓé¼ΓÇ¥ now re-run the imports cell below.

device: cuda | GPUs: 2 -> ['Tesla T4', 'Tesla T4']

======================================================================
CUBE-LEVEL SPLIT (grouped by RunID — no channel-level leakage)
======================================================================
  data_dir          : /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data
  total cubes       : 14  across 11 distinct RunIDs
  seed=42  n_holdout=3  val_fraction=0.2
----------------------------------------------------------------------
  TRAIN   :  7 cubes | RunIDs ['0006', '0010', '0020', '0022', '0030', '0035']
  VAL     :  2 cubes | RunIDs ['0016', '0036']
  HOLDOUT :  5 cubes | RunIDs ['0002', '0025', '0026']  <-- inference only, NEVER trained/validated
----------------------------------------------------------------------
  HOLDOUT cube folders (reserved for moment-map evaluation):
    - run_0002_00560_rt_00
    - run_0002_00560_rt_01
    - run_0002_00560_rt_04
    - run_0025_01000_rt_04
    - run_0026_00005_rt_04
======================================================================

[FITSChannelDataset] 7 cubes x ~50 channels = 350 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
[FITSChannelDataset] 2 cubes x ~50 channels = 100 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
train items: 350 | val items: 100

per-cube beam vectors [sin2BPA, cos2BPA, bmaj", bmin"]:
  run_0006_00170_rt_00         [-0.35688, 0.93415, 0.16325, 0.14323]
  run_0010_00125_rt_01         [-0.88444, -0.46665, 0.178, 0.11162]
  run_0010_00125_rt_02         [0.99896, 0.04559, 0.10449, 0.09915]
  run_0020_01000_rt_02         [-0.45252, -0.89175, 0.14064, 0.10718]
  run_0022_00155_rt_03         [0.99906, 0.04339, 0.13931, 0.13261]
  run_0030_00015_rt_00         [-0.99632, 0.08566, 0.1538, 0.12479]
  run_0035_00025_rt_01         [0.78691, 0.61707, 0.15059, 0.14761]

=== control (no beam) ===
  ep   1 | train 0.2116 | val 0.0537 | lr 1.0e-03 (19s) *best
  ep  46 | train 0.0028 | val 0.0032 | lr 1.0e-03 (13s)
  ep  47 | train 0.0026 | val 0.0033 | lr 1.0e-03 (13s)
  ep  48 | train 0.0027 | val 0.0036 | lr 1.0e-03 (13s)
  early stop at epoch 48 (no improvement for 5 epochs)
control: PSNR 33.6977 | SSIM 0.9865 | MSE 0.000597 | best ep 43 (48 run)

=== beam-conditioned ===
  ep   1 | train 0.2717 | val 0.1752 | lr 1.0e-03 (13s) *best
  ep   2 | train 0.1619 | val 0.1073 | lr 1.0e-03 (13s) *best
  ep   3 | train 0.0695 | val 0.0366 | lr 1.0e-03 (13s) *best
  ep   4 | train 0.0302 | val 0.0363 | lr 1.0e-03 (13s) *best
  ep   5 | train 0.0198 | val 0.0271 | lr 1.0e-03 (13s) *best
  ep   6 | train 0.0164 | val 0.0226 | lr 1.0e-03 (13s) *best
  ep   7 | train 0.0151 | val 0.0239 | lr 1.0e-03 (13s)
  ep   8 | train 0.0134 | val 0.0215 | lr 1.0e-03 (13s) *best
  ep   9 | train 0.0125 | val 0.0141 | lr 1.0e-03 (13s) *best
  ep  10 | train 0.0085 | val 0.0105 | lr 1.0e-03 (13s) *best
  ep  11 | train 0.0073 | val 0.0099 | lr 1.0e-03 (13s) *best
  ep  12 | train 0.0064 | val 0.0087 | lr 1.0e-03 (13s) *best
  ep  13 | train 0.0065 | val 0.0085 | lr 1.0e-03 (13s) *best
  ep  14 | train 0.0063 | val 0.0089 | lr 1.0e-03 (13s)
  ep  15 | train 0.0061 | val 0.0087 | lr 1.0e-03 (13s)
  ep  16 | train 0.0054 | val 0.0080 | lr 1.0e-03 (13s) *best
  ep  17 | train 0.0051 | val 0.0073 | lr 1.0e-03 (13s) *best
  ep  18 | train 0.0049 | val 0.0068 | lr 1.0e-03 (13s) *best
  ep  19 | train 0.0046 | val 0.0064 | lr 1.0e-03 (13s) *best
  ep  20 | train 0.0045 | val 0.0068 | lr 1.0e-03 (13s)
  ep  21 | train 0.0045 | val 0.0060 | lr 1.0e-03 (13s) *best
  ep  22 | train 0.0047 | val 0.0076 | lr 1.0e-03 (13s)
  ep  23 | train 0.0054 | val 0.0079 | lr 1.0e-03 (13s)
  ep  24 | train 0.0049 | val 0.0068 | lr 1.0e-03 (13s)
  ep  25 | train 0.0047 | val 0.0061 | lr 1.0e-03 (13s)
  ep  26 | train 0.0046 | val 0.0058 | lr 1.0e-03 (13s) *best
  ep  27 | train 0.0043 | val 0.0057 | lr 1.0e-03 (13s) *best
  ep  28 | train 0.0040 | val 0.0054 | lr 1.0e-03 (13s) *best
  ep  29 | train 0.0039 | val 0.0052 | lr 1.0e-03 (13s) *best
  ep  30 | train 0.0042 | val 0.0054 | lr 1.0e-03 (13s)
  ep  31 | train 0.0039 | val 0.0051 | lr 1.0e-03 (13s) *best
  ep  32 | train 0.0038 | val 0.0052 | lr 1.0e-03 (13s)
  ep  33 | train 0.0037 | val 0.0049 | lr 1.0e-03 (13s) *best
  ep  34 | train 0.0034 | val 0.0044 | lr 1.0e-03 (13s) *best
  ep  35 | train 0.0034 | val 0.0045 | lr 1.0e-03 (13s)
  ep  36 | train 0.0033 | val 0.0041 | lr 1.0e-03 (13s) *best
  ep  37 | train 0.0032 | val 0.0053 | lr 1.0e-03 (13s)
  ep  38 | train 0.0038 | val 0.0054 | lr 1.0e-03 (13s)
  ep  39 | train 0.0036 | val 0.0043 | lr 1.0e-03 (13s)
  ep  40 | train 0.0033 | val 0.0039 | lr 1.0e-03 (13s) *best
  ep  41 | train 0.0030 | val 0.0036 | lr 1.0e-03 (13s) *best
  ep  42 | train 0.0029 | val 0.0034 | lr 1.0e-03 (14s) *best
  ep  43 | train 0.0029 | val 0.0036 | lr 1.0e-03 (13s)
  ep  44 | train 0.0027 | val 0.0034 | lr 1.0e-03 (13s) *best
  ep  45 | train 0.0026 | val 0.0033 | lr 1.0e-03 (13s) *best
  ep  46 | train 0.0025 | val 0.0037 | lr 1.0e-03 (13s)
  ep  47 | train 0.0029 | val 0.0040 | lr 1.0e-03 (13s)
  ep  48 | train 0.0029 | val 0.0041 | lr 1.0e-03 (13s)
  ep  49 | train 0.0027 | val 0.0031 | lr 1.0e-03 (13s) *best
  ep  50 | train 0.0023 | val 0.0030 | lr 1.0e-03 (13s) *best
  ep  51 | train 0.0024 | val 0.0036 | lr 1.0e-03 (13s)
  ep  52 | train 0.0025 | val 0.0032 | lr 1.0e-03 (13s)
  ep  53 | train 0.0023 | val 0.0030 | lr 1.0e-03 (13s) *best
  ep  54 | train 0.0021 | val 0.0027 | lr 1.0e-03 (13s) *best
  ep  55 | train 0.0021 | val 0.0028 | lr 1.0e-03 (13s)
  ep  56 | train 0.0024 | val 0.0029 | lr 1.0e-03 (14s)
  ep  57 | train 0.0026 | val 0.0036 | lr 1.0e-03 (13s)
  ep  58 | train 0.0027 | val 0.0037 | lr 1.0e-03 (13s)
  ep  59 | train 0.0026 | val 0.0030 | lr 1.0e-03 (13s)
  early stop at epoch 59 (no improvement for 5 epochs)
beam   : PSNR 34.9399 | SSIM 0.9882 | MSE 0.000463 | best ep 54 (59 run)

beam - control: PSNR +1.242 dB | SSIM +0.00169
V12 reference : PSNR 32.95 | SSIM 0.9857 | MSE 0.000681
verdict: beam helps

beam checkpoint loaded: epoch 54 | val_loss 0.0027 | beam_dim 4

cube                             dirty_M0    imp_M0%   dirty_M1    imp_M1%   dirty_M2    imp_M2%
------------------------------------------------------------------------------------------------
  denoising run_0002_00560_rt_00 ... done
run_0002_00560_rt_00             0.006489      75.7%     0.7699      14.0%      5.017      12.3%
  denoising run_0002_00560_rt_01 ... done
run_0002_00560_rt_01             0.004833      75.7%     0.4649      34.1%      5.343      24.7%
  denoising run_0002_00560_rt_04 ... done
run_0002_00560_rt_04             0.006434      60.0%     0.3272      15.1%      5.392       6.4%
  denoising run_0025_01000_rt_04 ... done
run_0025_01000_rt_04             0.004987       3.0%     0.6145      17.4%      4.907      57.4%
  denoising run_0026_00005_rt_04 ... done
run_0026_00005_rt_04             0.008393      84.8%      1.141      15.7%      3.534      15.1%

================================================================================================
BEAM SUMMARY (n=5 cubes)  [V12 baseline: M0 +69.8+/-15.2, M1 +17.5+/-7.8, M2 +20.1+/-14.3]:
  M0: mean +59.8%  std 33.0%  (n=5)
  M1: mean +19.2%  std 8.4%  (n=5)
  M2: mean +23.2%  std 20.2%  (n=5)

CSV saved -> ../results/moment_map_holdout_summary_beam.csv

search space:
  base_channels: [16, 32, 48, 64]
  channel_multipliers: [(1, 2, 4), (1, 2, 2, 4), (1, 2, 4, 8)]
  lr: (0.0001, 0.003)
  alpha: (0.5, 0.95)
  sched_patience: [3, 5, 8]
  use_beam: [False, True]

=== sweep run 1/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 4), 'lr': 0.0012455466690609286, 'alpha': 0.6102013342115643, 'sched_patience': 3, 'use_beam': False} ===
  ep   1 | train 0.2024 | val 0.0529 | lr 1.2e-03 (7s) *best
  ep   2 | train 0.0340 | val 0.0471 | lr 1.2e-03 (7s) *best
  ep   3 | train 0.0274 | val 0.0264 | lr 1.2e-03 (7s) *best
  ep   4 | train 0.0202 | val 0.0202 | lr 1.2e-03 (7s) *best
  ep   5 | train 0.0151 | val 0.0148 | lr 1.2e-03 (7s) *best
  ep   6 | train 0.0146 | val 0.0158 | lr 1.2e-03 (7s)
  ep   7 | train 0.0134 | val 0.0139 | lr 1.2e-03 (7s) *best
  ep   8 | train 0.0117 | val 0.0142 | lr 1.2e-03 (7s)
  ep   9 | train 0.0135 | val 0.0149 | lr 1.2e-03 (7s)
  ep  10 | train 0.0128 | val 0.0129 | lr 1.2e-03 (7s) *best
  ep  11 | train 0.0115 | val 0.0145 | lr 1.2e-03 (7s)
  ep  12 | train 0.0104 | val 0.0137 | lr 1.2e-03 (7s)
  ep  13 | train 0.0099 | val 0.0132 | lr 1.2e-03 (7s)
  ep  14 | train 0.0100 | val 0.0122 | lr 1.2e-03 (7s) *best
  ep  15 | train 0.0100 | val 0.0122 | lr 1.2e-03 (7s)
  ep  16 | train 0.0101 | val 0.0118 | lr 1.2e-03 (7s) *best
  ep  17 | train 0.0099 | val 0.0114 | lr 1.2e-03 (7s) *best
  ep  18 | train 0.0118 | val 0.0130 | lr 1.2e-03 (7s)
  ep  19 | train 0.0106 | val 0.0119 | lr 1.2e-03 (7s)
  ep  20 | train 0.0088 | val 0.0104 | lr 1.2e-03 (7s) *best
  ep  21 | train 0.0077 | val 0.0104 | lr 1.2e-03 (8s)
  ep  22 | train 0.0084 | val 0.0106 | lr 1.2e-03 (7s)
  ep  23 | train 0.0083 | val 0.0102 | lr 1.2e-03 (7s) *best
  ep  24 | train 0.0078 | val 0.0098 | lr 1.2e-03 (7s) *best
  ep  25 | train 0.0074 | val 0.0089 | lr 1.2e-03 (7s) *best
  ep  26 | train 0.0071 | val 0.0093 | lr 1.2e-03 (7s)
  ep  27 | train 0.0073 | val 0.0090 | lr 1.2e-03 (7s)
  ep  28 | train 0.0068 | val 0.0077 | lr 1.2e-03 (7s) *best
  ep  29 | train 0.0071 | val 0.0088 | lr 1.2e-03 (7s)
  ep  30 | train 0.0062 | val 0.0074 | lr 1.2e-03 (7s) *best
  ep  31 | train 0.0062 | val 0.0092 | lr 1.2e-03 (7s)
  ep  32 | train 0.0063 | val 0.0082 | lr 1.2e-03 (7s)
  ep  33 | train 0.0058 | val 0.0078 | lr 1.2e-03 (7s)
  ep  34 | train 0.0054 | val 0.0069 | lr 1.2e-03 (7s) *best
  ep  35 | train 0.0053 | val 0.0079 | lr 1.2e-03 (7s)
  ep  36 | train 0.0057 | val 0.0074 | lr 1.2e-03 (8s)
  ep  37 | train 0.0055 | val 0.0059 | lr 1.2e-03 (7s) *best
  ep  38 | train 0.0052 | val 0.0074 | lr 1.2e-03 (7s)
  ep  39 | train 0.0053 | val 0.0057 | lr 1.2e-03 (7s) *best
  ep  40 | train 0.0051 | val 0.0069 | lr 1.2e-03 (7s)
  ep  41 | train 0.0053 | val 0.0078 | lr 1.2e-03 (7s)
  ep  42 | train 0.0051 | val 0.0066 | lr 1.2e-03 (7s)
  ep  43 | train 0.0047 | val 0.0058 | lr 6.2e-04 (7s)
  ep  44 | train 0.0041 | val 0.0052 | lr 6.2e-04 (7s) *best
  ep  45 | train 0.0040 | val 0.0051 | lr 6.2e-04 (7s) *best
  ep  46 | train 0.0040 | val 0.0052 | lr 6.2e-04 (7s)
  ep  47 | train 0.0039 | val 0.0052 | lr 6.2e-04 (7s)
  ep  48 | train 0.0038 | val 0.0050 | lr 6.2e-04 (7s) *best
  ep  49 | train 0.0039 | val 0.0053 | lr 6.2e-04 (7s)
  ep  50 | train 0.0038 | val 0.0054 | lr 6.2e-04 (8s)
  ep  51 | train 0.0039 | val 0.0054 | lr 6.2e-04 (7s)
  ep  52 | train 0.0039 | val 0.0053 | lr 3.1e-04 (7s)
  ep  53 | train 0.0036 | val 0.0048 | lr 3.1e-04 (8s) *best
  ep  54 | train 0.0035 | val 0.0047 | lr 3.1e-04 (8s) *best
  ep  55 | train 0.0034 | val 0.0047 | lr 3.1e-04 (7s)
  ep  56 | train 0.0034 | val 0.0046 | lr 3.1e-04 (8s) *best
  ep  57 | train 0.0034 | val 0.0048 | lr 3.1e-04 (7s)
  ep  58 | train 0.0034 | val 0.0046 | lr 3.1e-04 (8s)
  ep  59 | train 0.0033 | val 0.0045 | lr 3.1e-04 (8s) *best
  ep  60 | train 0.0033 | val 0.0047 | lr 3.1e-04 (7s)

=== sweep run 2/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 4, 8), 'lr': 0.00041998104292578266, 'alpha': 0.5134087487471316, 'sched_patience': 3, 'use_beam': False} ===
  ep   1 | train 0.3061 | val 0.0839 | lr 4.2e-04 (8s) *best
  ep   2 | train 0.0518 | val 0.0557 | lr 4.2e-04 (8s) *best
  ep   3 | train 0.0397 | val 0.0687 | lr 4.2e-04 (8s)
  ep   4 | train 0.0376 | val 0.0480 | lr 4.2e-04 (8s) *best
  ep   5 | train 0.0321 | val 0.0417 | lr 4.2e-04 (8s) *best
  ep   6 | train 0.0283 | val 0.0377 | lr 4.2e-04 (8s) *best
  ep   7 | train 0.0284 | val 0.0377 | lr 4.2e-04 (8s) *best
  ep   8 | train 0.0238 | val 0.0278 | lr 4.2e-04 (8s) *best
  ep   9 | train 0.0200 | val 0.0241 | lr 4.2e-04 (8s) *best
  ep  10 | train 0.0192 | val 0.0191 | lr 4.2e-04 (8s) *best
  ep  11 | train 0.0147 | val 0.0176 | lr 4.2e-04 (8s) *best
  ep  12 | train 0.0133 | val 0.0168 | lr 4.2e-04 (8s) *best
  ep  13 | train 0.0211 | val 0.0229 | lr 4.2e-04 (8s)
  ep  14 | train 0.0189 | val 0.0209 | lr 4.2e-04 (8s)
  ep  15 | train 0.0151 | val 0.0172 | lr 4.2e-04 (8s)
  ep  16 | train 0.0129 | val 0.0154 | lr 4.2e-04 (8s) *best
  ep  17 | train 0.0118 | val 0.0144 | lr 4.2e-04 (8s) *best
  ep  18 | train 0.0116 | val 0.0151 | lr 4.2e-04 (8s)
  ep  19 | train 0.0108 | val 0.0135 | lr 4.2e-04 (8s) *best
  ep  20 | train 0.0100 | val 0.0140 | lr 4.2e-04 (8s)
  ep  21 | train 0.0101 | val 0.0126 | lr 4.2e-04 (8s) *best
  ep  22 | train 0.0106 | val 0.0170 | lr 4.2e-04 (8s)
  ep  23 | train 0.0143 | val 0.0175 | lr 4.2e-04 (8s)
  ep  24 | train 0.0144 | val 0.0181 | lr 4.2e-04 (8s)
  ep  25 | train 0.0118 | val 0.0141 | lr 2.1e-04 (8s)
  ep  26 | train 0.0101 | val 0.0133 | lr 2.1e-04 (8s)
  early stop at epoch 26 (no improvement for 5 epochs)

=== sweep run 3/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 4, 8), 'lr': 0.00019665605376708537, 'alpha': 0.7924479970007854, 'sched_patience': 8, 'use_beam': True} ===
  ep   1 | train 0.1803 | val 0.0585 | lr 2.0e-04 (8s) *best
  ep   2 | train 0.0312 | val 0.0312 | lr 2.0e-04 (8s) *best
  ep   3 | train 0.0208 | val 0.0275 | lr 2.0e-04 (8s) *best
  ep   4 | train 0.0184 | val 0.0228 | lr 2.0e-04 (8s) *best
  ep   5 | train 0.0158 | val 0.0207 | lr 2.0e-04 (8s) *best
  ep   6 | train 0.0140 | val 0.0177 | lr 2.0e-04 (9s) *best
  ep   7 | train 0.0126 | val 0.0162 | lr 2.0e-04 (8s) *best
  ep   8 | train 0.0111 | val 0.0141 | lr 2.0e-04 (8s) *best
  ep   9 | train 0.0100 | val 0.0127 | lr 2.0e-04 (8s) *best
  ep  10 | train 0.0090 | val 0.0119 | lr 2.0e-04 (8s) *best
  ep  11 | train 0.0081 | val 0.0104 | lr 2.0e-04 (8s) *best
  ep  12 | train 0.0076 | val 0.0103 | lr 2.0e-04 (8s) *best
  ep  13 | train 0.0069 | val 0.0092 | lr 2.0e-04 (8s) *best
  ep  14 | train 0.0064 | val 0.0086 | lr 2.0e-04 (8s) *best
  ep  15 | train 0.0060 | val 0.0093 | lr 2.0e-04 (8s)
  ep  16 | train 0.0056 | val 0.0078 | lr 2.0e-04 (9s) *best
  ep  17 | train 0.0053 | val 0.0073 | lr 2.0e-04 (8s) *best
  ep  18 | train 0.0051 | val 0.0070 | lr 2.0e-04 (8s) *best
  ep  19 | train 0.0052 | val 0.0075 | lr 2.0e-04 (8s)
  ep  20 | train 0.0051 | val 0.0068 | lr 2.0e-04 (8s) *best
  ep  21 | train 0.0047 | val 0.0065 | lr 2.0e-04 (8s) *best
  ep  22 | train 0.0043 | val 0.0060 | lr 2.0e-04 (8s) *best
  ep  23 | train 0.0042 | val 0.0057 | lr 2.0e-04 (8s) *best
  ep  24 | train 0.0041 | val 0.0055 | lr 2.0e-04 (8s) *best
  ep  25 | train 0.0040 | val 0.0054 | lr 2.0e-04 (8s) *best
  ep  26 | train 0.0038 | val 0.0054 | lr 2.0e-04 (8s) *best
  ep  27 | train 0.0037 | val 0.0050 | lr 2.0e-04 (8s) *best
  ep  28 | train 0.0036 | val 0.0048 | lr 2.0e-04 (8s) *best
  ep  29 | train 0.0036 | val 0.0051 | lr 2.0e-04 (8s)
  ep  30 | train 0.0036 | val 0.0046 | lr 2.0e-04 (8s) *best
  ep  31 | train 0.0035 | val 0.0043 | lr 2.0e-04 (8s) *best
  ep  32 | train 0.0031 | val 0.0041 | lr 2.0e-04 (8s) *best
  ep  33 | train 0.0033 | val 0.0043 | lr 2.0e-04 (8s)
  ep  34 | train 0.0030 | val 0.0039 | lr 2.0e-04 (8s) *best
  ep  35 | train 0.0031 | val 0.0039 | lr 2.0e-04 (9s)
  ep  36 | train 0.0031 | val 0.0041 | lr 2.0e-04 (8s)
  ep  37 | train 0.0029 | val 0.0035 | lr 2.0e-04 (8s) *best
  ep  38 | train 0.0027 | val 0.0036 | lr 2.0e-04 (8s)
  ep  39 | train 0.0026 | val 0.0034 | lr 2.0e-04 (8s) *best
  ep  40 | train 0.0028 | val 0.0035 | lr 2.0e-04 (8s)
  ep  41 | train 0.0024 | val 0.0033 | lr 2.0e-04 (8s) *best
  ep  42 | train 0.0024 | val 0.0034 | lr 2.0e-04 (8s)
  ep  43 | train 0.0025 | val 0.0034 | lr 2.0e-04 (8s)
  ep  44 | train 0.0025 | val 0.0035 | lr 2.0e-04 (8s)
  ep  45 | train 0.0024 | val 0.0032 | lr 2.0e-04 (9s) *best
  ep  46 | train 0.0022 | val 0.0033 | lr 2.0e-04 (8s)
  ep  47 | train 0.0021 | val 0.0032 | lr 2.0e-04 (8s) *best
  ep  48 | train 0.0021 | val 0.0034 | lr 2.0e-04 (8s)
  ep  49 | train 0.0022 | val 0.0033 | lr 2.0e-04 (8s)
  ep  50 | train 0.0024 | val 0.0031 | lr 2.0e-04 (8s) *best
  ep  51 | train 0.0022 | val 0.0036 | lr 2.0e-04 (8s)
  ep  52 | train 0.0026 | val 0.0030 | lr 2.0e-04 (8s) *best
  ep  53 | train 0.0024 | val 0.0034 | lr 2.0e-04 (8s)
  ep  54 | train 0.0024 | val 0.0033 | lr 2.0e-04 (8s)
  ep  55 | train 0.0022 | val 0.0027 | lr 2.0e-04 (8s) *best
  ep  56 | train 0.0019 | val 0.0028 | lr 2.0e-04 (8s)
  ep  57 | train 0.0019 | val 0.0028 | lr 2.0e-04 (8s)
  ep  58 | train 0.0019 | val 0.0028 | lr 2.0e-04 (8s)
  ep  59 | train 0.0019 | val 0.0031 | lr 2.0e-04 (8s)
  ep  60 | train 0.0019 | val 0.0026 | lr 2.0e-04 (8s) *best

=== sweep run 4/12: {'base_channels': 32, 'channel_multipliers': (1, 2, 2, 4), 'lr': 0.0007420221445211643, 'alpha': 0.8642437055050219, 'sched_patience': 3, 'use_beam': False} ===
  ep   1 | train 0.1696 | val 0.1331 | lr 7.4e-04 (13s) *best
  ep   2 | train 0.0511 | val 0.0396 | lr 7.4e-04 (13s) *best
  ep   3 | train 0.0213 | val 0.0290 | lr 7.4e-04 (13s) *best
  ep   4 | train 0.0170 | val 0.0194 | lr 7.4e-04 (13s) *best
  ep   5 | train 0.0157 | val 0.0113 | lr 7.4e-04 (13s) *best
  ep   6 | train 0.0083 | val 0.0076 | lr 7.4e-04 (13s) *best
  ep   7 | train 0.0059 | val 0.0064 | lr 7.4e-04 (13s) *best
  ep   8 | train 0.0056 | val 0.0072 | lr 7.4e-04 (13s)
  ep   9 | train 0.0053 | val 0.0060 | lr 7.4e-04 (13s) *best
